area,total,male,female,pct_male,pct_female
1,124580,60256,64324,0.483673141756,0.516326858244
2,90719,44649,46070,0.492168123546,0.507831876454
3,178562,86298,92264,0.48329431794,0.51670568206
4,188253,91354,96899,0.485272479057,0.514727520943
5,165253,79773,85480,0.482732537382,0.517267462618
6,126609,61373,65236,0.484744370463,0.515255629537
7,96504,45571,50933,0.472218768134,0.527781231866
8,82772,40552,42220,0.489924128932,0.510075871068
