area,total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100-104,105-109,110+,pct_0,pct_1,pct_2,pct_3,pct_4,pct_5,pct_6,pct_7,pct_8,pct_9,pct_10,pct_11,pct_12,pct_13,pct_14,pct_15,pct_16,pct_17,pct_18,pct_19,pct_20,pct_21,pct_22,pct_23,pct_24,pct_25,pct_26,pct_27,pct_28,pct_29,pct_30,pct_31,pct_32,pct_33,pct_34,pct_35,pct_36,pct_37,pct_38,pct_39,pct_40,pct_41,pct_42,pct_43,pct_44,pct_45,pct_46,pct_47,pct_48,pct_49,pct_50,pct_51,pct_52,pct_53,pct_54,pct_55,pct_56,pct_57,pct_58,pct_59,pct_60,pct_61,pct_62,pct_63,pct_64,pct_65,pct_66,pct_67,pct_68,pct_69,pct_70,pct_71,pct_72,pct_73,pct_74,pct_75,pct_76,pct_77,pct_78,pct_79,pct_80,pct_81,pct_82,pct_83,pct_84,pct_85,pct_86,pct_87,pct_88,pct_89,pct_90,pct_91,pct_92,pct_93,pct_94,pct_95,pct_96,pct_97,pct_98,pct_99,pct_100-104,pct_105-109,pct_110+
1,123719,1344,1379,1484,1477,1502,1516,1541,1543,1618,1487,1548,1591,1659,1621,1624,1777,1687,1808,1481,1327,1292,1293,1324,1391,1411,1408,1429,1511,1463,1442,1497,1435,1393,1364,1421,1419,1424,1563,1656,1769,1716,1670,1777,1843,1955,2111,2026,2031,2142,2178,2138,2008,2077,1948,1935,1861,1778,1736,1669,1529,1507,1444,1576,1532,1115,1057,1016,1054,921,860,829,770,737,761,667,672,643,655,581,694,585,656,672,619,611,569,500,450,404,305,257,227,201,146,121,71,50,45,31,25,33,3,0,0.010863327379,0.0111462265295,0.011994923981,0.0119383441509,0.0121404149726,0.0122535746328,0.0124556454546,0.0124718111204,0.0130780235857,0.0120191724796,0.0125122252847,0.0128597870982,0.0134094197334,0.0131022720843,0.0131265205829,0.0143631940122,0.0136357390538,0.0146137618312,0.0119706754823,0.0107259192202,0.0104430200697,0.0104511029025,0.0107016707216,0.0112432205239,0.0114048771814,0.0113806286827,0.011550368173,0.0122131604685,0.0118251844907,0.0116554450004,0.0121000008083,0.0115988651703,0.0112593861897,0.0110249840364,0.0114857055101,0.0114695398443,0.0115099540087,0.0126334677778,0.0133851712348,0.0142985313493,0.0138701412071,0.013498330895,0.0143631940122,0.0148966609817,0.0158019382633,0.0170628601912,0.0163758193972,0.0164162335615,0.0173134280102,0.0176044099936,0.0172810966788,0.0162303284055,0.0167880438736,0.0157453584332,0.0156402816059,0.0150421519734,0.0143712768451,0.0140317978645,0.0134902480621,0.0123586514602,0.012180829137,0.0116716106661,0.0127385446051,0.0123828999588,0.00901235865146,0.00854355434493,0.0082121581972,0.00851930584631,0.00744428907443,0.00695123626929,0.00670066845028,0.00622378131087,0.00595704782612,0.00615103581503,0.00539124952513,0.00543166368949,0.00519726153622,0.00529425553068,0.0046961258982,0.00560948601266,0.00472845722969,0.00530233836355,0.00543166368949,0.00500327354731,0.00493861088434,0.00459913190375,0.00404141643563,0.00363727479207,0.00326546447999,0.00246526402574,0.00207728804792,0.00183480306178,0.00162464940712,0.0011800935992,0.000978022777423,0.00057388113386,0.000404141643563,0.000363727479207,0.000250567819009,0.000202070821782,0.000266733484752,2.42484986138e-05,0.0
2,90524,1310,1275,1402,1401,1351,1280,1190,1177,1168,1155,1153,1072,1145,1134,1176,1184,1244,1402,1233,1215,1342,1340,1334,1415,1439,1405,1342,1474,1454,1475,1405,1303,1279,1269,1199,1242,1232,1210,1219,1269,1361,1254,1294,1309,1293,1427,1301,1338,1289,1351,1270,1246,1273,1197,1205,1220,1064,1024,1013,898,854,837,814,766,636,658,609,591,525,560,479,482,502,413,437,432,367,421,376,367,381,356,364,356,298,292,252,236,180,169,152,115,82,72,42,35,30,13,12,13,7,0,0,0.0144713004286,0.0140846626309,0.0154876054969,0.0154765587027,0.0149242189916,0.014139896602,0.0131456851222,0.0130020767973,0.0129026556493,0.0127590473245,0.012736953736,0.0118421634042,0.0126485793823,0.0125270646458,0.0129910300031,0.0130794043569,0.0137422120101,0.0154876054969,0.0136206972737,0.0134218549777,0.0148247978437,0.0148027042552,0.0147364234899,0.0156312138217,0.015896336883,0.0155207458795,0.0148247978437,0.0162829746807,0.0160620387963,0.016294021475,0.0155207458795,0.0143939728691,0.0141288498078,0.0140183818656,0.0132451062702,0.0137201184216,0.0136096504794,0.0133666210066,0.0134660421546,0.0140183818656,0.0150346869339,0.0138526799523,0.0142945517211,0.0144602536344,0.0142835049269,0.0157637753524,0.0143718792806,0.0147806106668,0.01423931775,0.0149242189916,0.0140294286598,0.0137643055985,0.0140625690425,0.0132230126817,0.0133113870355,0.0134770889488,0.0117537890504,0.0113119172816,0.0111904025452,0.00992002120984,0.00943396226415,0.00924616676241,0.00899209049534,0.00846184437276,0.00702576112412,0.00726879059697,0.00672749768017,0.00652865538421,0.00579956696567,0.00618620476338,0.00529141443153,0.00532455481419,0.0055454906986,0.00456232601299,0.00482744907428,0.00477221510318,0.00405417347886,0.00465070036675,0.00415359462684,0.00405417347886,0.00420882859794,0.00393265874243,0.0040210330962,0.00393265874243,0.00329194467765,0.00322566391233,0.00278379214352,0.00260704343599,0.00198842295966,0.00186690822323,0.00167911272149,0.00127038133534,0.000905837126066,0.000795369183863,0.000463965357253,0.000386637797711,0.00033140382661,0.000143608324864,0.000132561530644,0.000143608324864,7.73275595422e-05,0.0,0.0
3,178042,2552,2552,2505,2361,2382,2285,2297,2225,2093,2181,2177,2204,2165,2132,2171,2309,2453,2590,4860,6763,6513,6134,4919,3575,3427,3391,3205,3113,3112,3038,3040,2608,2524,2409,2339,2357,2140,2145,2205,2254,2233,2075,2136,2073,2054,2103,1917,1968,1961,1950,2046,1916,1860,1916,1898,1803,1814,1660,1479,1454,1503,1364,1367,1255,1028,1023,928,986,787,729,727,662,686,584,596,524,489,563,468,580,525,475,450,445,436,432,412,330,322,265,230,189,160,122,91,88,58,42,41,29,28,2,0,0.0143336965435,0.0143336965435,0.0140697138877,0.0132609159636,0.0133788656609,0.0128340503926,0.0129014502196,0.0124970512576,0.0117556531605,0.0122499185585,0.0122274519495,0.0123791015603,0.0121600521225,0.0119747025983,0.012193752036,0.0129688500466,0.0137776479707,0.014547129329,0.0272969299379,0.0379854191708,0.0365812561081,0.0344525449051,0.0276283124207,0.0200795317959,0.0192482672628,0.0190460677818,0.0180013704631,0.0174846384561,0.0174790218038,0.0170633895373,0.0170746228418,0.0146482290695,0.0141764302805,0.0135305152717,0.0131373496141,0.0132384493546,0.0120196358163,0.0120477190775,0.0123847182126,0.0126599341728,0.0125419844756,0.01165455342,0.0119971692073,0.0116433201155,0.0115366037227,0.011811819683,0.0107671223644,0.0110535716292,0.0110142550634,0.0109524718887,0.0114916705047,0.0107615057121,0.0104469731861,0.0107615057121,0.0106604059716,0.0101268240078,0.0101886071826,0.00932364273598,0.00830702867863,0.00816661237236,0.00844182833264,0.00766111366981,0.00767796362656,0.00704889857449,0.00577391851361,0.00574583525236,0.00521225328855,0.00553801911908,0.00442030532122,0.00409453949068,0.00408330618618,0.00371822378989,0.00385302344391,0.00328012491435,0.00334752474135,0.00294312577931,0.00274654295054,0.00316217521708,0.00262859325328,0.00325765830534,0.00294874243156,0.00266790981903,0.00252749351277,0.00249941025151,0.00244886038126,0.00242639377226,0.00231406072724,0.0018534952427,0.00180856202469,0.00148841284641,0.00129183001764,0.00106154727536,0.000898664360095,0.000685231574572,0.000511115354804,0.000494265398052,0.000325765830534,0.000235899394525,0.000230282742274,0.000162882915267,0.000157266263017,1.12333045012e-05,0.0
4,187345,1532,1673,1735,1773,1844,1947,1912,1877,2019,2048,2027,2169,2029,2222,2309,2321,2496,2456,2559,2963,2935,2743,2496,2190,2113,2082,2083,2070,2098,2171,2280,2085,2074,1970,1971,2100,2094,2239,2375,2612,2814,2666,2739,2812,2905,2999,2986,2897,3146,3105,3236,3131,3162,3020,3157,2917,2840,2627,2567,2446,2488,2395,2324,2470,1725,1770,1766,1858,1449,1366,1335,1275,1214,1108,1225,1145,1067,1116,1035,1146,1091,1101,1080,992,1029,946,879,761,697,574,465,370,327,231,176,159,110,85,42,38,48,3,0,0.00817742667272,0.00893004884037,0.00926098908431,0.00946382342737,0.00984280338413,0.0103925912087,0.0102057701033,0.0100189489978,0.0107769089114,0.0109317035416,0.0108196108783,0.0115775707919,0.0108302863701,0.011860471323,0.0123248552136,0.0123889081641,0.0133230136913,0.0131095038565,0.0136592916811,0.0158157410126,0.0156662841282,0.0146414369212,0.0133230136913,0.0116896634551,0.0112786570231,0.0111131869012,0.011118524647,0.0110491339507,0.0111985908351,0.0115882462836,0.0121700605834,0.0111292001388,0.0110704849342,0.0105153593637,0.0105206971096,0.0112092663268,0.0111772398516,0.0119512130027,0.0126771464411,0.0139421922122,0.015020416878,0.0142304304892,0.0146200859377,0.0150097413862,0.0155061517521,0.0160078998639,0.0159385091676,0.0154634497852,0.0167925485068,0.0165737009261,0.0172729456351,0.0167124823187,0.0168779524407,0.0161199925272,0.0168512637113,0.0155702047026,0.0151591982706,0.0140222584003,0.0137019936481,0.0130561263978,0.0132803117244,0.0127839013585,0.0124049214017,0.0131842322987,0.00920761162561,0.00944781018976,0.00942645920628,0.00991753182631,0.00773439376551,0.00729136085831,0.00712589073634,0.00680562598415,0.00648002348608,0.00591422242387,0.00653873869065,0.00611171902106,0.0056953748432,0.00595692439083,0.00552456697537,0.00611705676693,0.00582348074408,0.00587685820278,0.00576476553951,0.00529504390296,0.00549254050015,0.00504950759294,0.00469187861966,0.00406202460701,0.00372040887133,0.00306386612933,0.00248205182951,0.00197496597187,0.00174544289946,0.00123301929595,0.000939443273106,0.000848701593317,0.000587152045691,0.000453708398943,0.000224185326537,0.000202834343057,0.000256211801756,1.60132376098e-05,0.0
5,166158,1578,1540,1665,1627,1781,1720,1885,1853,1911,1910,2006,2005,2028,2139,2055,2157,2166,2228,1969,1714,1761,1698,1844,1899,1844,1815,1857,1894,1903,1980,2022,1842,2048,1884,1838,1981,1938,2017,2190,2388,2517,2347,2405,2479,2579,2793,2726,2784,2865,2846,2891,2949,2941,2839,2746,2710,2485,2469,2377,2174,2284,2205,2150,2244,1704,1628,1585,1659,1324,1220,1122,1055,1069,1044,938,948,994,924,876,896,904,875,897,835,798,756,671,615,497,480,292,306,217,165,142,104,68,61,37,20,45,2,0,0.0094969847976,0.00926828681135,0.0100205828188,0.00979188483251,0.0107187135136,0.010351593062,0.0113446237918,0.0111520360139,0.0115011013614,0.0114950829933,0.012072846327,0.0120668279589,0.0122052504243,0.0128732892789,0.0123677463619,0.0129816199039,0.0130357852165,0.0134089240362,0.0118501667088,0.0103154828537,0.0105983461525,0.0102191889647,0.0110978707014,0.0114288809446,0.0110978707014,0.0109233380277,0.0111761094862,0.0113987891043,0.0114529544169,0.0119163687574,0.0121691402159,0.0110858339653,0.0123256177855,0.0113386054238,0.011061760493,0.0119223871255,0.011663597299,0.0121390483756,0.0131802260499,0.0143718629256,0.0151482324053,0.0141251098352,0.0144741751827,0.014919534419,0.015521371225,0.0168093019897,0.0164060713297,0.0167551366771,0.0172426244899,0.0171282754968,0.0173991020595,0.0177481674069,0.0177000204625,0.0170861469204,0.0165264386909,0.0163097774407,0.0149556446274,0.0148593507385,0.014305660877,0.013083932161,0.0137459526475,0.0132705015708,0.0129394913275,0.0135052179251,0.0102552991731,0.00979790320057,0.00953911337402,0.00998447261041,0.00796831931054,0.00734240903237,0.00675260896255,0.00634937830258,0.00643363545541,0.00628317625393,0.00564522923964,0.00570541292023,0.00598225785096,0.00556097208681,0.00527209041996,0.00539245778115,0.00544060472562,0.0052660720519,0.00539847614921,0.00502533732953,0.00480265771133,0.00454988625284,0.0040383249678,0.00370129635648,0.00299112892548,0.00288881666847,0.00175736347332,0.00184162062615,0.00130598586887,0.000993030729787,0.000854608264423,0.000625910278169,0.000409249028034,0.000367120451618,0.000222679618195,0.000120367361186,0.000270826562669,1.20367361186e-05,0.0
6,126979,968,1080,1183,1143,1284,1271,1410,1358,1397,1399,1547,1513,1549,1630,1594,1704,1765,1696,2787,3346,3029,2713,2110,1481,1233,1220,1141,1076,1123,1083,1076,1097,1052,1088,1063,1163,1126,1229,1341,1557,1683,1628,1741,1741,1801,2111,2075,2086,2147,2187,2178,2155,2125,2168,2037,2174,2001,2007,1924,1794,1796,1764,1821,1850,1343,1347,1363,1358,1107,967,892,820,799,774,728,697,672,653,585,652,602,536,615,509,483,429,402,379,362,269,247,181,162,133,91,64,52,32,23,16,14,2,0,0.00762330779105,0.00850534340324,0.00931650115373,0.0090014884351,0.0101119082683,0.0100095291347,0.011104198332,0.0106946817978,0.0110018191985,0.0110175698344,0.0121831168933,0.0119153560825,0.0121988675293,0.0128367682845,0.0125532568377,0.013419541814,0.0138999362099,0.0133565392703,0.0219485111711,0.0263508139141,0.0238543381189,0.0213657376417,0.0166169209082,0.0116633459076,0.00971026705203,0.00960788791847,0.00898573779916,0.00847384213138,0.00884398207578,0.00852896935714,0.00847384213138,0.00863922380866,0.00828483450019,0.00856834594697,0.00837146299782,0.00915899479441,0.00886760802967,0.00967876578017,0.0105608013924,0.012261870073,0.0132541601367,0.0128210176486,0.0137109285787,0.0137109285787,0.0141834476567,0.0166247962261,0.0163412847794,0.016427913277,0.0169083076729,0.0172233203916,0.0171524425299,0.0169713102166,0.0167350506777,0.0170736893502,0.0160420226967,0.017120941258,0.0157585112499,0.0158057631577,0.0151521117665,0.0141283204309,0.0141440710669,0.013892060892,0.014340954016,0.014569338237,0.0105765520283,0.0106080533002,0.0107340583876,0.0106946817978,0.00871797698832,0.00761543247309,0.00702478362564,0.00645776073209,0.0062923790548,0.00609549610566,0.00573323147922,0.00548909662228,0.00529221367313,0.00514258263177,0.00460706101009,0.00513470731381,0.00474094141551,0.00422117042976,0.00484332054907,0.00400853684468,0.00380377857756,0.0033785114074,0.00316587782232,0.0029847455091,0.00285086510368,0.00211846053284,0.00194520353759,0.00142543255184,0.00127580151049,0.00104741728947,0.000716653934903,0.000504020349822,0.00040951653423,0.000252010174911,0.000181132313217,0.000126005087455,0.000110254451523,1.57506359319e-05,0.0
7,96912,903,871,955,991,1001,1005,1075,1046,1070,1107,1075,1094,1157,1094,1181,1180,1255,1277,1513,1618,1455,1528,1302,1234,1119,1155,1073,1064,1035,1116,1062,1061,985,964,995,909,981,1090,1157,1249,1272,1266,1283,1265,1355,1503,1583,1546,1618,1673,1522,1514,1632,1592,1551,1506,1421,1414,1299,1264,1209,1140,1227,1311,969,942,936,975,851,684,705,669,666,650,632,603,587,571,602,638,590,597,621,610,510,561,466,420,359,339,263,224,168,150,119,74,73,44,27,13,34,2,0,0.00931773155027,0.00898753508337,0.00985430080898,0.0102257718342,0.0103289582301,0.0103702327885,0.0110925375598,0.0107932970117,0.0110409443619,0.0114227340267,0.0110925375598,0.0112885917121,0.0119386660063,0.0112885917121,0.0121863133564,0.0121759947169,0.0129498926861,0.0131769027571,0.0156121017005,0.0166955588575,0.0150136206043,0.0157668812944,0.0134348687469,0.0127332012547,0.0115465577018,0.0119180287271,0.0110719002807,0.0109790325244,0.0106797919762,0.0115156017831,0.0109583952452,0.0109480766056,0.0101638599967,0.0099471685653,0.0102670463926,0.00937964338782,0.0101225854383,0.0112473171537,0.0119386660063,0.0128879808486,0.0131253095592,0.0130633977216,0.0132388145947,0.0130530790821,0.0139817566452,0.0155089153046,0.0163344064719,0.015952616807,0.0166955588575,0.017263084035,0.0157049694568,0.0156224203401,0.0168400198118,0.0164272742282,0.016004210005,0.0155398712234,0.0146627868582,0.014590556381,0.0134039128281,0.0130427604425,0.012475235265,0.0117632491332,0.0126609707776,0.0135277365032,0.00999876176325,0.0097201584943,0.00965824665676,0.0100606736008,0.00878116229156,0.00705794947994,0.00727464091134,0.00690316988608,0.00687221396731,0.00670711573386,0.00652138022123,0.00622213967311,0.00605704143966,0.00589194320621,0.00621182103351,0.00658329205877,0.00608799735843,0.00616022783556,0.00640787518574,0.00629437015024,0.00526250619118,0.0057887568103,0.0048084860492,0.00433382862803,0.00370439161301,0.0034980188212,0.00271380221232,0.00231137526828,0.00173353145121,0.00154779593858,0.00122791811128,0.000763579329701,0.000753260690111,0.000454020141984,0.000278603268945,0.000134142314677,0.000350833746079,2.06372791811e-05,0.0
8,82888,772,754,776,867,875,914,852,894,906,898,919,974,949,918,1069,991,1042,1056,1132,1322,1210,1059,1073,1026,923,923,894,900,907,874,879,821,884,779,858,919,920,928,1005,1118,1181,1069,1131,1162,1246,1285,1276,1315,1337,1318,1278,1267,1387,1361,1278,1342,1247,1241,1183,1203,1265,1195,1253,1270,955,967,888,925,832,731,684,651,622,538,530,502,509,490,474,431,493,428,448,382,352,316,272,314,247,224,202,145,118,99,69,46,36,46,13,15,22,2,0,0.00931377280185,0.00909661229611,0.00936203069202,0.0104598976933,0.0105564134736,0.0110269279027,0.0102789306052,0.0107856384519,0.0109304121224,0.0108338963421,0.0110872502654,0.0117507962552,0.0114491844417,0.0110751857929,0.0128969211466,0.0119558922884,0.012571180388,0.0127400830036,0.0136569829167,0.0159492326995,0.0145980117749,0.0127762764212,0.0129451790368,0.0123781488273,0.0111355081556,0.0111355081556,0.0107856384519,0.0108580252871,0.0109424765949,0.0105443490011,0.0106046713638,0.00990493195637,0.0106649937265,0.00939822410964,0.0103513174404,0.0110872502654,0.011099314738,0.0111958305183,0.012124794904,0.0134880803011,0.0142481420712,0.0128969211466,0.0136449184442,0.0140189170929,0.0150323327864,0.0155028472155,0.0153942669626,0.0158647813918,0.0161301997877,0.0159009748094,0.0154183959077,0.0152856867098,0.0167334234147,0.0164197471287,0.0154183959077,0.0161905221504,0.015044397259,0.0149720104237,0.0142722710163,0.0145135604671,0.0152615577647,0.0144170446868,0.0151167840942,0.0153218801274,0.0115215712769,0.0116663449474,0.0107132516166,0.0111596371007,0.0100376411543,0.00881912942766,0.00825209921822,0.00785397162436,0.00750410192066,0.0064906862272,0.00639417044687,0.00605636521571,0.0061408165235,0.00591159154522,0.00571855998456,0.00519978766528,0.00594778496284,0.00516359424766,0.00540488369848,0.00460862851076,0.00424669433452,0.00381237332304,0.00328153653122,0.00378824437796,0.00297992471769,0.00270244184924,0.00243702345333,0.00174934851848,0.00142360775987,0.00119438278158,0.000832448605347,0.000554965736898,0.000434321011485,0.000554965736898,0.000156838143036,0.000180967088119,0.000265418395908,2.41289450825e-05,0.0
