geoID_long,geoID_short,muni_long,muni_short,total,0_1,2_4,5_12,13_18,19_25,26_64,65+,pct_0_1,pct_2_4,pct_5_12,pct_13_18,pct_19_25,pct_26_64,pct_65+
0600000US4400751760,4400751760,"North Providence town, Providence County, Rhode Island",North Providence,32078,557,869,2384,2027,2733,17259,6249,0.0173639254318,0.0270902175946,0.0743188478085,0.0631897250452,0.085198578465,0.538032296278,0.194806409377
0600000US4400752480,4400752480,"North Smithfield town, Providence County, Rhode Island",North Smithfield,11967,186,322,1122,970,754,6350,2263,0.015542742542,0.0269073284867,0.0937578340436,0.0810562379878,0.0630066014874,0.530625887858,0.189103367594
0600000US4400754640,4400754640,"Pawtucket city, Providence County, Rhode Island",Pawtucket,71148,1908,3104,6960,5514,7166,37504,8992,0.0268173385057,0.0436273683027,0.0978242536684,0.0775004216563,0.100719626694,0.527126553101,0.126384438073
0600000US4400557880,4400557880,"Portsmouth town, Newport County, Rhode Island",Portsmouth,17389,274,514,1827,1596,1174,9146,2858,0.0157570878141,0.0295589165564,0.105066421301,0.0917821611364,0.0675139455978,0.525964690321,0.164356777273
0600000US4400759000,4400759000,"Providence city, Providence County, Rhode Island",Providence,178042,5104,7248,17627,16515,34722,81322,15504,0.028667393087,0.0407094955123,0.0990047292212,0.0927590119185,0.195021399445,0.456757394323,0.0870805764932
0600000US4400961160,4400961160,"Richmond town, Washington County, Rhode Island",Richmond,7708,163,262,875,637,497,4524,750,0.0211468604048,0.0339906590555,0.113518422418,0.0826414115205,0.0644784639336,0.586922677737,0.0973015049299
0600000US4400764220,4400764220,"Scituate town, Providence County, Rhode Island",Scituate,10329,119,271,1038,963,671,5743,1524,0.0115209604027,0.0262368089844,0.100493755446,0.0932326459483,0.0649627263046,0.556007357924,0.14754574499
0600000US4400766200,4400766200,"Smithfield town, Providence County, Rhode Island",Smithfield,21430,255,490,1614,1856,3580,9918,3717,0.0118992067196,0.0228651423238,0.0753149790014,0.086607559496,0.167055529631,0.462809146057,0.173448436771
0600000US4400967460,4400967460,"South Kingstown town, Washington County, Rhode Island",South Kingstown,30639,398,746,2468,3540,5955,13324,4208,0.0129899800907,0.0243480531349,0.0805509318189,0.115539018897,0.194360129247,0.434870589771,0.13734129704
0600000US4400570880,4400570880,"Tiverton town, Newport County, Rhode Island",Tiverton,15780,268,417,1366,1115,938,8612,3064,0.0169835234474,0.0264258555133,0.0865652724968,0.0706590621039,0.0594423320659,0.545754119138,0.194169835234
0600000US4400173760,4400173760,"Warren town, Bristol County, Rhode Island",Warren,10611,200,336,854,675,867,5779,1900,0.0188483649043,0.0316652530393,0.0804825181416,0.0636132315522,0.0817076618603,0.544623503911,0.179059466591
0600000US4400374300,4400374300,"Warwick city, Kent County, Rhode Island",Warwick,82672,1534,2367,6964,5883,6297,45483,14144,0.0185552544997,0.0286312173408,0.0842365008709,0.0711607315657,0.0761684730017,0.550162086317,0.171085736404
0600000US4400377720,4400377720,"West Greenwich town, Kent County, Rhode Island",West Greenwich,6135,119,174,690,568,463,3528,593,0.0193969030155,0.0283618581907,0.112469437653,0.0925835370823,0.0754686226569,0.575061124694,0.0966585167074
0600000US4400378440,4400378440,"West Warwick town, Kent County, Rhode Island",West Warwick,29191,680,1067,2460,1891,2775,16303,4015,0.0232948511528,0.0365523620294,0.0842725497585,0.0647802404851,0.0950635469837,0.558494056387,0.137542393203
0600000US4400977000,4400977000,"Westerly town, Washington County, Rhode Island",Westerly,22787,465,751,2097,1705,1535,11993,4241,0.0204063720542,0.0329573879844,0.092026155264,0.0748233641989,0.0673629701145,0.526308860315,0.186114890069
0600000US4400780780,4400780780,"Woonsocket city, Providence County, Rhode Island",Woonsocket,41186,1224,1894,4202,3112,3909,21397,5448,0.0297188364978,0.0459865002671,0.102024959938,0.0755596561939,0.0949108920507,0.519521196523,0.13227795853
