geoID_long,geoID_short,muni_long,muni_short,total,white,black,native,asian,pac,other,multi,hispanic
0600000US4400374300,4400374300.0,"Warwick city, Kent County, Rhode Island",Warwick,82065.0,73504.0,1102.0,67.0,2297.0,0.0,193.0,1257.0,3645.0
0600000US4400377720,4400377720.0,"West Greenwich town, Kent County, Rhode Island",West Greenwich,6118.0,5430.0,106.0,14.0,275.0,0.0,0.0,134.0,159.0
0600000US4400378440,4400378440.0,"West Warwick town, Kent County, Rhode Island",West Warwick,28960.0,25156.0,654.0,34.0,831.0,0.0,57.0,712.0,1516.0
0600000US4400977000,4400977000.0,"Westerly town, Washington County, Rhode Island",Westerly,22727.0,20955.0,248.0,116.0,537.0,0.0,39.0,376.0,456.0
0600000US4400780780,4400780780.0,"Woonsocket city, Providence County, Rhode Island",Woonsocket,41136.0,28697.0,2479.0,123.0,2910.0,0.0,36.0,1054.0,5837.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
