GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0600000US4400557880,4400557880,"Portsmouth town, Newport County, Rhode Island",17352,26,16969,196,16044,353,226,156,0,19,344,114,78,105,0,19,277,110,35,40,242,96,383,194,328,195,20,27,0,19,0,19,0,19,13,26,22,21,5,10,17,18
0600000US4400570880,4400570880,"Tiverton town, Newport County, Rhode Island",15805,21,15659,105,15340,183,81,64,0,19,50,39,0,19,5,13,183,132,0,19,183,132,146,100,64,41,11,15,0,19,0,19,0,19,32,45,39,60,0,19,39,60
0600000US4400711800,4400711800,"Burrillville town, Providence County, Rhode Island",16108,22,15789,179,15364,239,76,63,0,19,80,58,0,19,30,33,239,115,20,29,219,107,319,175,257,151,1,3,0,19,7,17,0,19,40,43,14,21,0,19,14,21
0600000US4400714140,4400714140,"Central Falls city, Providence County, Rhode Island",19406,33,6772,611,4463,522,1669,501,25,37,8,13,0,19,333,251,274,131,126,79,148,88,12634,619,6811,869,2057,603,43,69,0,19,0,19,3384,675,339,199,251,180,88,99
0600000US4400719180,4400719180,"Cranston city, Providence County, Rhode Island",80680,39,71433,1190,60976,1355,3686,635,311,159,4051,640,38,55,529,363,1842,475,150,99,1692,457,9247,1185,5751,974,246,142,174,210,138,156,0,29,2701,786,237,123,146,89,91,71
0600000US4400720080,4400720080,"Cumberland town, Providence County, Rhode Island",33930,26,32149,404,30631,511,236,176,32,50,661,246,0,26,138,107,451,201,85,87,366,187,1781,407,1162,429,94,149,0,26,0,26,0,26,431,348,94,100,41,60,53,78
0600000US4400722960,4400722960,"East Providence city, Providence County, Rhode Island",47166,43,44661,568,37730,1009,2696,652,97,85,1049,343,0,26,642,223,2447,592,938,397,1509,470,2505,560,1405,445,260,178,0,26,0,26,0,26,561,220,279,166,131,96,148,130
0600000US4400727460,4400727460,"Foster town, Providence County, Rhode Island",4642,31,4642,31,4423,171,63,69,0,12,4,7,0,12,9,14,143,115,0,12,143,115,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US4400730340,4400730340,"Glocester town, Providence County, Rhode Island",9844,29,9712,95,9548,165,34,33,0,17,32,35,0,17,8,12,90,91,0,17,90,91,132,91,60,57,0,17,0,17,0,17,0,17,57,52,15,25,15,25,0,17
0600000US4400737720,4400737720,"Johnston town, Providence County, Rhode Island",28987,30,27292,429,24834,815,510,367,137,118,1373,524,0,23,13,22,425,223,12,20,413,225,1695,427,898,383,39,65,0,23,19,30,0,23,418,245,321,238,72,96,249,217
0600000US4400741500,4400741500,"Lincoln town, Providence County, Rhode Island",21300,49,20122,591,18460,701,634,478,23,33,312,158,0,23,175,220,518,219,24,27,494,220,1178,590,990,566,99,166,5,11,0,23,0,23,21,23,63,81,55,81,8,12
0600000US4400751760,4400751760,"North Providence town, Providence County, Rhode Island",32208,41,29951,567,26580,853,2148,720,84,82,641,275,0,26,69,77,429,182,68,69,361,167,2257,567,1506,468,115,91,22,35,0,26,0,26,467,323,147,118,48,58,99,101
0600000US4400752480,4400752480,"North Smithfield town, Providence County, Rhode Island",12106,38,11944,112,11680,176,29,31,23,30,52,35,0,19,27,42,133,87,11,18,122,87,162,108,161,109,0,19,0,19,0,19,0,19,1,3,0,19,0,19,0,19
0600000US4400754640,4400754640,"Pawtucket city, Providence County, Rhode Island",71313,41,56595,1114,38595,1309,10834,1011,90,59,1166,364,68,100,3268,595,2574,516,781,270,1793,394,14718,1114,7101,908,1764,584,41,47,16,19,0,29,5273,842,523,164,248,102,275,134
0600000US4400759000,4400759000,"Providence city, Providence County, Rhode Island",178562,57,106493,1663,65111,1573,22646,1377,1441,393,11310,884,176,111,1467,503,4342,806,660,242,3682,711,72069,1668,25987,2061,5855,1185,629,361,213,95,97,92,36367,2457,2921,604,1441,393,1480,538
0600000US4400764220,4400764220,"Scituate town, Providence County, Rhode Island",10414,18,10324,66,10096,182,1,3,17,28,19,26,0,19,0,19,191,162,0,19,191,162,90,65,0,19,1,2,48,50,0,19,0,19,21,28,20,33,20,33,0,19
0600000US4400766200,4400766200,"Smithfield town, Providence County, Rhode Island",21478,20,20958,200,19764,332,359,167,62,57,517,206,13,20,8,12,235,121,58,57,177,90,520,202,402,179,19,28,2,6,0,23,5,9,78,55,14,16,4,8,10,15
0600000US4400780780,4400780780,"Woonsocket city, Providence County, Rhode Island",41136,37,35299,809,28697,1028,2479,574,123,105,2910,604,0,26,36,38,1054,327,159,144,895,305,5837,805,4110,772,783,402,20,29,35,43,0,26,739,301,150,107,124,101,26,26
0600000US4400914500,4400914500,"Charlestown town, Washington County, Rhode Island",7788,34,7606,142,7274,207,9,21,132,100,0,17,0,17,0,17,191,134,1,3,190,134,182,138,115,96,0,17,0,17,0,17,0,17,29,40,38,66,38,66,0,17
0600000US4400925300,4400925300,"Exeter town, Washington County, Rhode Island",6673,176,6410,282,6159,297,88,43,2,4,147,154,0,17,0,17,14,33,0,17,14,33,263,230,172,220,0,17,0,17,7,15,0,17,84,66,0,17,0,17,0,17
0600000US4400935380,4400935380,"Hopkinton town, Washington County, Rhode Island",8144,18,8023,111,7623,262,254,188,0,17,76,98,0,17,0,17,70,84,0,17,70,84,121,109,87,92,0,17,0,17,0,17,0,17,34,53,0,17,0,17,0,17
0600000US4400948340,4400948340,"Narragansett town, Washington County, Rhode Island",15786,18,15401,178,15141,219,68,49,12,24,10,33,0,19,14,24,156,112,0,19,156,112,385,175,238,126,0,19,0,19,8,13,6,11,105,93,28,31,18,28,10,16
0600000US4400950500,4400950500,"New Shoreham town, Washington County, Rhode Island",893,175,878,173,853,169,6,9,0,12,0,12,0,12,0,12,19,34,0,12,19,34,15,17,9,15,0,12,0,12,0,12,0,12,6,7,0,12,0,12,0,12
0600000US4400951580,4400951580,"North Kingstown town, Washington County, Rhode Island",26404,24,25690,281,24115,461,328,243,132,104,779,225,0,23,9,13,327,147,29,30,298,141,714,280,520,254,1,3,0,23,14,24,0,23,164,150,15,31,15,31,0,23
0600000US4400961160,4400961160,"Richmond town, Washington County, Rhode Island",7648,18,7526,73,7237,167,87,80,58,70,112,85,0,17,0,17,32,41,0,17,32,41,122,73,78,65,0,17,0,17,0,17,0,17,44,53,0,17,0,17,0,17
0600000US4400967460,4400967460,"South Kingstown town, Washington County, Rhode Island",30546,22,29355,293,26855,477,771,248,599,238,713,187,0,26,28,33,389,148,50,39,339,140,1191,288,696,255,33,58,0,26,2,4,0,26,368,149,92,46,48,31,44,36
0600000US4400977000,4400977000,"Westerly town, Washington County, Rhode Island",22727,47,22271,209,20955,410,248,166,116,111,537,240,0,23,39,47,376,249,0,23,376,249,456,205,338,189,0,23,0,23,0,23,0,23,118,103,0,23,0,23,0,23
