area,total_det,below_pov,pct_below_pov
1,27458,5546,0.201981207663
2,21573,7481,0.346776062671
3,40025,15894,0.397101811368
4,34277,4218,0.123056276804
5,32491,3711,0.114216244498
6,23804,2528,0.106200638548
7,19376,2161,0.111529727498
8,15437,1605,0.103970978817
